project,t_parent,t_total,dyncov
jacobi-1d-imper.simple_lnt,1069,140000,1.52714285714286
gesummv.simple_lnt,142630,4e+05,71.315
flops-1.simple_lnt,1459068,1530000,95.3639215686274
wordfreq.simple_lnt,91,120000,0.151666666666667
Quicksort.simple_lnt,1898146,3180000,59.6901257861635
reg_detect.simple_lnt,9323,140000,13.3185714285714
lemon.simple_lnt,14020160,7775190000,5.22925664839059
loop_unroll.simple_lnt,30889,3960000,3.12010101010101
ks.simple_lnt,173933,6250000,13.91464
ControlFlow-flt.simple_lnt,145382404,584840000,99.4339675808768
shapes.simple_lnt,116,160000,0.145
correlation.simple_lnt,846729,3880000,87.2916494845361
syrk.simple_lnt,1091806,2480000,88.0488709677419
doitgen.simple_lnt,410024,960000,85.4216666666667
fhourstones.simple_lnt,50247024,655110000,69.0301195219124
mandel-2.simple_lnt,209217269,209290000,99.9652486979789
huffbench.simple_lnt,6329885,21190000,29.8720386974988
ocean.simple_lnt,3648,260000,2.80615384615385
moments.simple_lnt,4017250,29500000,68.0889830508475
jacobi-2d-imper.simple_lnt,44315,360000,24.6194444444444
symm.simple_lnt,8186408,16640000,98.3943269230769
flops-5.simple_lnt,1147765,1210000,94.8566115702479
treecc.simple_lnt,180583,4620000,82.0831818181818
strcat.simple_lnt,196,1200000,0.049
lulesh-omp,37557,10980000,6.15688524590164
LinearDependence-flt.simple_lnt,2200236,9120000,96.5015789473684
Symbolics-dbl.simple_lnt,2561662,12200000,83.9889180327869
Packing-dbl.simple_lnt,3476,13720000,0.10134110787172
fdtd-2d.simple_lnt,157137,840000,37.4135714285714
floyd-warshall.simple_lnt,798946,1860000,85.9081720430108
lu.simple_lnt,488,120000,0.813333333333333
hash.simple_lnt,978071,49140000,17.9133882783883
Reductions-dbl.simple_lnt,24705130,206700000,71.7130043541364
llu.simple_lnt,90,5870000,0.00153321976149915
fldry.simple_lnt,79563391,232860000,68.3358163703513
ControlLoops-flt.simple_lnt,2434187,13250000,91.8561132075472
sieve.simple_lnt,4815239,104400000,41.5106810344828
functionobjects.simple_lnt,29640505,449500000,65.9410567296997
CrossingThresholds-dbl.simple_lnt,2756791,16650000,82.7865165165165
covariance.simple_lnt,845397,1940000,87.1543298969072
netbench-crc.simple_lnt,11136,1620000,1.37481481481481
IndirectAddressing-flt.simple_lnt,355722,10440000,13.6291954022989
Equivalencing-flt.simple_lnt,1331500,12960000,92.4652777777778
RealMM.simple_lnt,10932,80000,13.665
fsm.simple_lnt,107,280000,0.152857142857143
Expansion-flt.simple_lnt,1605645,7760000,82.765206185567
syr2k.simple_lnt,2185118,4620000,94.5938528138528
fasta.simple_lnt,76,740000,0.0102702702702703
voronoi.simple_lnt,151,2490000,0.0181927710843373
lists1.simple_lnt,180,810000,0.0666666666666667
aha.simple_lnt,225072210,1369050000,82.2001424345349
unix-tbl.simple_lnt,90,2e+05,0.09
flops-8.simple_lnt,1462601,1530000,95.5948366013072
simulator.simple_lnt,126,80000,0.1575
employ.simple_lnt,37687,9e+05,25.1246666666667
GlobalDataFlow-flt.simple_lnt,2396008,18120000,79.3380132450331
flops-3.simple_lnt,1494829,1550000,96.4405806451613
fibo.simple_lnt,97,4280000,0.00453271028037383
dry.simple_lnt,158679106,695100000,68.4847242123435
sumcol.simple_lnt,72,60000,0.12
flops-6.simple_lnt,1072478,1140000,94.0770175438597
trmm.simple_lnt,558118,1380000,80.8866666666667
except.simple_lnt,115,750000,0.046
InductionVariable-dbl.simple_lnt,2923332,15920000,73.4505527638191
lowercase.simple_lnt,148,60000,0.246666666666667
Bubblesort.simple_lnt,11959827,24140000,99.0872162386081
ackermann.simple_lnt,184,3880000,0.0189690721649485
FloatMM.simple_lnt,5407417,15900000,68.0178238993711
IndirectAddressing-dbl.simple_lnt,471715,13840000,13.6333815028902
NodeSplitting-dbl.simple_lnt,3567065,14680000,97.1952316076294
gemver.simple_lnt,169169,460000,73.5517391304348
atax.simple_lnt,109617,340000,64.4805882352941
3mm.simple_lnt,8959132,18220000,98.3439297475302
himenobmtxpa.simple_lnt,718,820000,0.0875609756097561
ffbench.simple_lnt,481,3560000,0.0540449438202247
ccrypt,361125,44080000,31.1314655172414
trie.simple_lnt,892,110000,0.810909090909091
LoopRerolling-dbl.simple_lnt,3658245,15680000,93.3225765306122
Recurrences-dbl.simple_lnt,3710249,15240000,97.3818635170604
ControlLoops-dbl.simple_lnt,3207132,17450000,91.8948997134671
simple_types_constant_folding.simple_lnt,53565,10400000,6.695625
eks.simple_lnt,106469,570000,56.0363157894737
bicg.simple_lnt,132997,380000,69.9984210526316
enc-3des.simple_lnt,1608123,10140000,95.1552071005917
flops.simple_lnt,5448311,11020000,98.8804174228675
Searching-flt.simple_lnt,2945180,1.8e+07,65.4484444444444
netbench-url.simple_lnt,283320,18750000,7.5552
lists.simple_lnt,6553691,65240000,40.1820416922134
deriv1.simple_lnt,96,70000,0.137142857142857
Towers.simple_lnt,1522433,4540000,67.0675330396476
ary3.simple_lnt,518565,10440000,44.7038793103448
durbin.simple_lnt,178127,480000,74.2195833333333
health.simple_lnt,759451,8720000,34.8372018348624
is.simple_lnt,125967768,1497280000,67.3048557384056
qbsort.simple_lnt,74,140000,0.0528571428571429
Perm.simple_lnt,479,140000,0.684285714285714
anagram.simple_lnt,15538761,112650000,68.9692010652463
perlin.simple_lnt,276996007,812760000,68.1618207096806
fdtd-apml.simple_lnt,15220,1660000,1.83373493975904
seidel-2d.simple_lnt,257115,760000,67.6618421052631
Symbolics-flt.simple_lnt,1027594,4960000,82.8704838709677
ft.simple_lnt,106331,6080000,13.9909210526316
GlobalDataFlow-dbl.simple_lnt,3832658,49200000,46.7397317073171
mvt.simple_lnt,151403,420000,72.0966666666667
Reductions-flt.simple_lnt,30992799,251280000,74.0038180515759
puzzle.simple_lnt,102828,380000,54.12
adi.simple_lnt,1268623,2800000,90.6159285714286
fixoutput.simple_lnt,105,160000,0.13125
enc-rc4.simple_lnt,978315,4480000,43.6747767857143
wc.simple_lnt,94,120000,0.156666666666667
tsp.simple_lnt,1022788,18840000,21.7152441613588
office.simple_lnt,118,70000,0.168571428571429
nestedloop.simple_lnt,187,560000,0.133571428571429
flops-2.simple_lnt,885917,950000,93.2544210526316
objinst.simple_lnt,246,1280000,0.15375
nsieve-bits.simple_lnt,253291656,254200000,99.6426656176239
iotest.simple_lnt,8513,330000,2.57969696969697
vcirc.simple_lnt,96,140000,0.137142857142857
plot2fig.simple_lnt,120,240000,0.15
family.simple_lnt,97,210000,0.138571428571429
CrossingThresholds-flt.simple_lnt,1890655,12200000,77.4858606557377
ControlFlow-dbl.simple_lnt,145639977,585840000,99.440104465383
matrix.simple_lnt,458,14500000,0.0157931034482759
objects.simple_lnt,94,210000,0.134285714285714
ary.simple_lnt,10190,5e+05,10.19
simple_types_loop_invariant.simple_lnt,58950,29820000,2.76760563380282
matmul_f64_4x4.simple_lnt,31682757,47420000,66.813068325601
Treesort.simple_lnt,932994,1800000,51.833
lulesh,283518535,6.6546e+10,95.8610139978361
Equivalencing-dbl.simple_lnt,1991206,19080000,93.9248113207547
loader.simple_lnt,123,90000,0.136666666666667
burg.simple_lnt,3114,3680000,1.35391304347826
misr.simple_lnt,71,210000,0.0338095238095238
fib2.simple_lnt,72,2170000,0.00331797235023041
network-dijkstra.simple_lnt,73747,630000,35.1176190476191
life.simple_lnt,5224265,7160000,72.964594972067
exptree.simple_lnt,1181,350000,1.68714285714286
2mm.simple_lnt,5999631,12300000,97.5549756097561
ary2.simple_lnt,10138,4e+05,12.6725
stepanov_abstraction.simple_lnt,8146836,1.8e+08,54.31224
Recurrences-flt.simple_lnt,3583361,14680000,97.6392643051771
InductionVariable-flt.simple_lnt,1894520,11280000,67.1815602836879
470.lbm.simple_lnt,5328987,48600000,98.6849444444444
LinearDependence-dbl.simple_lnt,3394834,14040000,96.7189173789174
NodeSplitting-flt.simple_lnt,2661574,1.1e+07,96.7845090909091
spellcheck.simple_lnt,83,70000,0.118571428571429
Expansion-dbl.simple_lnt,2896311,13920000,83.2273275862069
fhourstones3.1.simple_lnt,72248746,1049440000,55.0760375057173
spectral-norm.simple_lnt,108,2430000,0.0133333333333333
trisolv.simple_lnt,93417,3e+05,62.278
allroots.simple_lnt,100,270000,0.111111111111111
Searching-dbl.simple_lnt,2145773,14480000,59.2754972375691
uudecode.simple_lnt,11508652,17070000,67.4203397773872
flops-7.simple_lnt,1459047,1520000,95.9899342105263
trees.simple_lnt,167,450000,0.185555555555556
sphereflake.simple_lnt,1268427,44100000,20.1337619047619
StatementReordering-dbl.simple_lnt,3549294,14600000,97.2409315068493
drop3.simple_lnt,400286054,3897840000,82.1554612811198
five11.simple_lnt,2867017,6030000,47.5458872305141
dynprog.simple_lnt,169459,460000,73.6778260869565
telecomm-fft.simple_lnt,67569,1150000,29.3778260869565
Packing-flt.simple_lnt,1911,13240000,0.0577341389728097
LoopRestructuring-flt.simple_lnt,2945344,12200000,96.5686557377049
stepanov_v1p2.simple_lnt,3635472,54700000,33.2310054844607
analyzer.simple_lnt,2238321,22240000,80.5151438848921
garage.simple_lnt,108,630000,0.0514285714285714
gemm.simple_lnt,2991856,6240000,95.8928205128205
office-stringsearch.simple_lnt,978,1e+05,0.978
StatementReordering-flt.simple_lnt,2286034,9520000,96.0518487394958
hello.simple_lnt,104,260000,0.08
stepanov_container.simple_lnt,85094402,1761150000,72.4762814070352
deriv2.simple_lnt,118,80000,0.1475
stepanov_vector.simple_lnt,9523267,221340000,60.2357179000633
hash2.simple_lnt,37191996,558300000,66.6165072541644
LoopRestructuring-dbl.simple_lnt,4171512,17040000,97.9228169014084
n-body.simple_lnt,4032120,13240000,60.9081570996979
LoopRerolling-flt.simple_lnt,2419334,10480000,92.3409923664122
dt.simple_lnt,627732,690000,90.975652173913
flops-4.simple_lnt,634911,7e+05,90.7015714285714
mybison.simple_lnt,61375,6e+06,40.9166666666667
random.simple_lnt,171,11760000,0.00436224489795918
cdecl.simple_lnt,39352,720000,43.7244444444444
Queens.simple_lnt,3426,80000,4.2825
IntMM.simple_lnt,10569,80000,13.21125
